epoch,training_loss,validation_loss,training_mae,validation_mae
1,5630.904296875,6274.04638671875,74.2525634765625,78.57454681396484
2,5638.03662109375,6259.3447265625,74.27813720703125,78.48095703125
3,5639.2509765625,6242.30224609375,74.29045867919922,78.37232971191406
4,5600.0703125,6227.05712890625,74.03665161132812,78.27497100830078
5,5610.494140625,6214.72607421875,74.12994384765625,78.19620513916016
6,5610.20703125,6206.42822265625,74.10956573486328,78.14315032958984
7,5605.25634765625,6201.8583984375,74.0718002319336,78.11387634277344
8,5572.412109375,6193.72900390625,73.85855865478516,78.06185150146484
9,5558.109375,6181.41455078125,73.75748443603516,77.98297882080078
10,5548.4013671875,6161.4609375,73.6953353881836,77.85504150390625
11,5574.3857421875,6147.0859375,73.8908920288086,77.7628173828125
12,5557.9931640625,6133.9775390625,73.74737548828125,77.67835998535156
13,5543.91650390625,6116.91650390625,73.67427062988281,77.56851959228516
14,5504.5439453125,6098.20751953125,73.41524505615234,77.4479751586914
15,5513.9609375,6083.17626953125,73.46739196777344,77.35086822509766
16,5494.7236328125,6058.3271484375,73.33132934570312,77.190185546875
17,5488.4716796875,6025.6708984375,73.30741119384766,76.978515625
18,5485.3857421875,5990.0634765625,73.2630386352539,76.74720764160156
19,5479.59033203125,5970.8291015625,73.21025085449219,76.62213134765625
20,5457.330078125,5964.3203125,73.08468627929688,76.58016204833984
21,5451.31103515625,5957.69775390625,73.03472900390625,76.53707122802734
22,5474.66552734375,5948.1455078125,73.18120574951172,76.47449493408203
23,5424.81103515625,5924.76171875,72.84188842773438,76.32103729248047
24,5377.9072265625,5887.01806640625,72.50858306884766,76.0738296508789
25,5365.86669921875,5850.1083984375,72.45513153076172,75.83119201660156
26,5388.6298828125,5795.97314453125,72.58233642578125,75.47364807128906
27,5349.17724609375,5746.7958984375,72.33295440673828,75.1474380493164
28,5309.177734375,5718.1416015625,72.0312271118164,74.95642852783203
29,5325.84228515625,5674.0625,72.17733764648438,74.6615982055664
30,5312.18505859375,5630.26171875,72.03547668457031,74.3682632446289
31,5291.2470703125,5608.46337890625,71.90457153320312,74.22258758544922
32,5279.40966796875,5595.06591796875,71.84912109375,74.13188934326172
33,5234.134765625,5596.98193359375,71.49314880371094,74.14469146728516
34,5209.45263671875,5566.74560546875,71.32543182373047,73.94090270996094
35,5180.32958984375,5522.44970703125,71.1338119506836,73.64112854003906
36,5163.87158203125,5502.10791015625,71.03919219970703,73.50282287597656
37,5154.29931640625,5492.4619140625,70.93223571777344,73.43678283691406
38,5102.5322265625,5476.1240234375,70.58523559570312,73.32685089111328
39,5076.0537109375,5475.13720703125,70.38092803955078,73.31878662109375
40,5112.80419921875,5506.8369140625,70.59204864501953,73.5337142944336
41,5029.12060546875,5520.11669921875,70.02381134033203,73.62105560302734
42,5000.62841796875,5506.2314453125,69.84636688232422,73.5240478515625
43,4993.0556640625,5476.89013671875,69.7918701171875,73.32594299316406
44,4949.353515625,5467.0859375,69.43658447265625,73.26221466064453
45,4906.2998046875,5415.49072265625,69.15647888183594,72.91242980957031
46,4871.35595703125,5394.71533203125,68.87169647216797,72.76779174804688
47,4832.0400390625,5342.20849609375,68.64153289794922,72.40508270263672
48,4830.95947265625,5354.98876953125,68.5897216796875,72.49437713623047
49,4742.46435546875,5419.4541015625,67.93901824951172,72.93791198730469
50,4722.8798828125,5462.7177734375,67.76738739013672,73.23345947265625
51,4677.5224609375,5464.3515625,67.44210815429688,73.24354553222656
52,4653.8798828125,5381.3994140625,67.29013061523438,72.67461395263672
53,4646.0703125,5323.01025390625,67.2454833984375,72.2733154296875
54,4598.3662109375,5212.83740234375,66.88777923583984,71.50889587402344
55,4533.58154296875,5246.70703125,66.34410095214844,71.74272155761719
56,4556.52685546875,5308.1875,66.49042510986328,72.17009735107422
57,4450.42236328125,5325.3681640625,65.73838806152344,72.28868103027344
58,4504.49658203125,5252.4013671875,66.16252136230469,71.7808837890625
59,4357.65966796875,5096.42431640625,65.04044342041016,70.68419647216797
60,4390.54052734375,5031.578125,65.23694610595703,70.21929168701172
61,4313.41455078125,4819.60595703125,64.64667510986328,68.6913070678711
62,4240.47998046875,4573.82861328125,64.10706329345703,66.87843322753906
63,4273.64794921875,4552.4443359375,64.42920684814453,66.72071075439453
64,4184.30517578125,4531.66357421875,63.65753173828125,66.56024932861328
65,4091.237060546875,4294.35546875,62.85803985595703,64.7493667602539
66,4103.52587890625,4184.94482421875,63.07062911987305,63.90201187133789
67,4064.612060546875,4302.974609375,62.67567443847656,64.82025146484375
68,3948.728271484375,4603.6689453125,61.69221878051758,67.09588623046875
69,3939.58203125,4536.640625,61.57572937011719,66.59684753417969
70,3951.25,4435.88623046875,61.720882415771484,65.82947540283203
71,3882.162109375,4213.42431640625,61.20402908325195,64.12113189697266
72,3760.745361328125,4083.036865234375,60.19373321533203,63.08666229248047
73,3830.775146484375,3946.296875,60.63691329956055,62.007545471191406
74,3720.10302734375,3981.87939453125,59.860538482666016,62.301143646240234
75,3633.64599609375,3939.57080078125,59.05900573730469,61.9637336730957
76,3522.62548828125,3892.10498046875,58.12928009033203,61.574867248535156
77,3577.031005859375,3872.73828125,58.63996505737305,61.41731643676758
78,3512.180908203125,3733.689697265625,58.0297966003418,60.28024673461914
79,3383.281005859375,3653.300048828125,57.0004768371582,59.60260009765625
80,3389.65966796875,3551.41748046875,56.94198989868164,58.7515869140625
81,3327.24853515625,3404.80859375,56.385032653808594,57.48263168334961
82,3327.3818359375,3370.120849609375,56.41477966308594,57.18327713012695
83,3257.983642578125,3332.65625,55.8526725769043,56.84883499145508
84,3222.609619140625,3458.17236328125,55.359962463378906,57.938446044921875
85,3152.61572265625,3547.509521484375,54.807159423828125,58.70610809326172
86,3165.3232421875,3453.203125,54.7176628112793,57.89669418334961
87,3024.008544921875,3349.32568359375,53.49042510986328,56.995887756347656
88,2994.616455078125,3372.560791015625,53.238094329833984,57.19725799560547
89,3028.394287109375,3477.3828125,53.71350860595703,58.110939025878906
90,2918.6689453125,3524.724853515625,52.57796859741211,58.51946258544922
91,2819.740478515625,3424.76171875,51.65644073486328,57.65456008911133
92,2911.10009765625,3377.247314453125,52.409706115722656,57.24734115600586
93,2750.935791015625,3303.30029296875,50.90123748779297,56.59760284423828
94,2663.340576171875,3232.37890625,50.14723205566406,55.9699821472168
95,2663.91748046875,2976.82470703125,50.04241943359375,53.63265609741211
96,2529.061767578125,2720.47216796875,48.60762023925781,51.2006950378418
97,2548.930908203125,2566.19189453125,48.76384735107422,49.664337158203125
98,2592.2841796875,2644.749755859375,49.2993049621582,50.4554557800293
99,2481.290771484375,2593.074951171875,48.05949401855469,49.943763732910156
100,2423.19873046875,2471.4140625,47.53867721557617,48.712669372558594
101,2438.87646484375,2502.99658203125,47.53965377807617,49.037437438964844
102,2359.831787109375,2176.737060546875,46.751617431640625,45.590492248535156
103,2235.56494140625,2007.4407958984375,45.506752014160156,43.67351531982422
104,2223.4111328125,2096.57470703125,45.06685256958008,44.66206741333008
105,2094.319091796875,2185.737548828125,43.702762603759766,45.64008331298828
106,2165.14111328125,2115.271728515625,44.45113754272461,44.86362838745117
107,2090.351806640625,2193.945068359375,43.7247428894043,45.74326705932617
108,2086.158447265625,2277.24853515625,43.57753372192383,46.644588470458984
109,1993.0338134765625,2352.74169921875,42.650726318359375,47.44869613647461
110,1921.2769775390625,2337.169921875,41.919410705566406,47.29605484008789
111,1969.5062255859375,2389.285888671875,42.10147476196289,47.85175323486328
112,1844.556396484375,2301.18017578125,40.879920959472656,46.91994094848633
113,1815.6678466796875,2329.21337890625,40.1920166015625,47.21449661254883
